Date,Open,High,Low,Close,Volume
2018-09-01,6977.0,7087.0,6880.0,7017.0,2937116125
2018-09-02,7017.0,7298.0,7016.0,7196.5,2539940934
2018-09-03,7196.5,7350.0,7138.0,7295.0,3429838907
2018-09-04,7295.0,7349.5,7180.0,7259.5,2589505781
2018-09-05,7259.5,7440.0,7235.5,7355.0,2638019686
2018-09-06,7355.0,7387.0,6633.5,6689.0,4657038172
2018-09-07,6689.0,6709.0,6181.0,6487.0,4459083786
2018-09-08,6487.0,6523.0,6323.5,6398.0,2831018719
2018-09-09,6398.0,6468.0,6100.0,6180.5,2169153899
2018-09-10,6180.5,6483.5,6140.0,6240.0,1849595765
2018-09-11,6240.0,6385.0,6223.0,6300.0,1952781855
2018-09-12,6300.0,6434.5,6140.0,6278.5,2208501033
2018-09-13,6278.5,6345.5,6181.0,6322.0,1947768858
2018-09-14,6322.0,6530.0,6321.5,6487.5,2595041422
2018-09-15,6487.5,6585.0,6350.0,6478.0,2451976268
2018-09-16,6478.0,6568.0,6463.5,6515.5,1215015008
2018-09-17,6515.5,6516.5,6330.5,6493.0,1285741467
2018-09-18,6493.0,6528.5,6201.0,6247.0,2605439205
2018-09-19,6247.0,6380.5,6226.5,6328.5,1771973276
2018-09-20,6328.5,6580.0,6066.0,6384.5,2821848926
2018-09-21,6384.5,6520.0,6336.5,6482.0,1616025470
2018-09-22,6482.0,6778.0,6481.5,6746.5,2536239642
2018-09-23,6746.5,6830.0,6626.0,6709.0,1610847589
2018-09-24,6709.0,6779.0,6653.0,6703.0,1017080580
2018-09-25,6703.0,6720.0,6555.0,6578.5,1650008148
2018-09-26,6578.5,6578.5,6311.5,6429.0,2725467770
2018-09-27,6429.0,6540.0,6377.0,6452.5,1803487065
2018-09-28,6452.5,6759.0,6435.0,6685.5,1928470339
2018-09-29,6685.5,6789.0,6521.0,6620.0,2927994334
2018-09-30,6620.0,6620.5,6438.0,6581.5,1716887274
2018-10-01,6581.5,6642.5,6515.0,6598.5,1193407992
2018-10-02,6598.5,6636.0,6466.0,6571.0,1637337327
2018-10-03,6571.0,6590.0,6444.5,6502.5,1402030836
2018-10-04,6502.5,6509.5,6394.0,6465.0,1540804688
2018-10-05,6465.0,6620.0,6459.0,6553.0,1667871595
2018-10-06,6553.0,6658.5,6522.0,6582.0,1156201039
2018-10-07,6582.0,6592.5,6531.5,6552.0,578198553
2018-10-08,6552.0,6599.0,6488.0,6571.0,683158128
2018-10-09,6571.0,6669.0,6550.5,6607.5,1256335274
2018-10-10,6607.5,6614.5,6563.0,6591.0,772207701
2018-10-11,6591.0,6591.5,6452.0,6530.0,1500208025
2018-10-12,6530.0,6530.5,6005.0,6154.5,3393156568
2018-10-13,6154.5,6233.5,6100.0,6182.5,1140618977
2018-10-14,6182.5,6212.5,6166.0,6193.5,565325381
2018-10-15,6193.5,6300.0,6142.0,6181.5,1003003304
2018-10-16,6181.5,6818.0,6147.0,6436.5,3808169212
2018-10-17,6436.5,6497.5,6383.0,6456.0,1347675108
2018-10-18,6456.0,6458.0,6409.0,6438.5,710975400
